s_d2,s_d3,s_d4,s_d5,s_d6,s_d7,s_d8,s_d9,s_d10
0.957639676,-0.021764538,0.010882269,-0.90322833,-1.425577244,1.643222625,-1.001168752,0.729112026,0.010882269
0.383288639,0.500224156,-0.376792221,-0.932235926,-1.16610696,1.669579324,-0.844534289,1.231071136,-0.464493859
1.515836541,-0.072528064,-0.660005384,-0.855831157,-1.225724284,1.472319702,-0.507696449,0.689016609,-0.355387514
1.2237443,0.358169063,-0.059694844,-1.193896878,-1.104354612,1.253591722,-1.044659768,0.955117502,-0.388016485
1.430865764,-0.059511596,-0.478680228,-0.897848861,-1.037571738,1.547301495,-0.827987422,0.755538523,-0.432105936
2.019204172,-0.228981916,0.092187525,-0.817792559,-1.05866964,0.547177567,-0.978377279,0.814818768,-0.389566637
1.60941145,0.638912083,-0.088962442,-0.452899705,-0.865361936,0.857274441,-1.690286398,0.469074694,-0.477162189
1.77839894,0.8964053,-0.426585159,-0.685995053,-1.101050883,0.662936396,-1.308578799,0.092234629,0.092234629
1.346608664,-0.220565212,0.249586951,-1.004152151,-1.343706491,1.059293454,-1.213108668,0.693619549,0.432423903
1.645299539,0.03343134,-0.245959147,-0.804740123,-1.105622187,1.322925899,-1.234571643,0.269838676,0.119397644
0.792679526,0.378646024,0.283099831,-1.40488291,-0.640513367,0.760830795,-1.595975296,0.155704907,1.270410491
1.67010353,0.415035668,0.116209987,-0.332028535,-1.706626669,0.295505396,-1.258388147,0.474800805,0.325387964
1.598023893,0.545666695,-0.185136914,0.019488096,-1.617511989,0.428738118,-1.442119123,0.428738118,0.224113107
1.391705458,-0.005088503,0.155199329,-1.172899847,-0.508850259,1.116926318,-1.539272033,0.842147178,-0.279867642
1.386242847,0.026155525,0.209244203,-0.549266034,-1.046221017,1.020065492,-1.778575729,0.653888136,0.078466576
1.542603112,0.056751285,-0.477226715,-0.755823933,-1.382667672,1.055057981,-1.104070455,0.474647111,0.590729285
1.653931696,0.215852103,-0.187819362,-0.894244426,-1.575440023,0.644753034,-0.843785493,0.871818233,0.114934237
1.857158769,0.28930614,0.037329824,-0.410628069,-1.278546489,0.345300877,-1.502525436,0.149319298,0.513285087
1.159217855,0.226388428,-0.902826141,-0.829181713,-1.246500141,1.797469568,-0.362766999,-0.215478142,0.373677285
0.865195507,1.192120527,-0.026418183,-1.363838719,-0.977472787,1.400163721,-1.007193243,0.092463642,-0.175020465
1.326902147,-0.046773916,0.484971657,-0.711455882,-1.376137849,0.61790805,-1.376137849,1.149653623,-0.068929982
1.781818325,0.027840911,-0.003480114,-1.037073947,-1.099715997,0.654261416,-1.099715997,0.936150643,-0.16008524
1.185086751,-0.129035234,0.146013554,-1.076425502,-1.320913313,1.032281869,-1.137547455,1.123964798,0.17657453
1.37913017,0.132112937,-0.157891071,-0.766899487,-1.375907903,0.567118948,-1.317907102,1.176127365,0.364116143
0.990309785,0.89395532,0.243562677,-1.225842923,-1.707615251,0.845778087,-0.840425061,0.388094375,0.412182992
